,OVERALL - RunTime(ms),OVERALL - Throughput(ops/sec),TOTAL_GCS_PS_Scavenge - Count,TOTAL_GC_TIME_PS_Scavenge - Time(ms),TOTAL_GC_TIME_%_PS_Scavenge - Time(%),TOTAL_GCS_PS_MarkSweep - Count,TOTAL_GC_TIME_PS_MarkSweep - Time(ms),TOTAL_GC_TIME_%_PS_MarkSweep - Time(%),TOTAL_GCs - Count,TOTAL_GC_TIME - Time(ms),TOTAL_GC_TIME_% - Time(%),READ - Operations,READ - AverageLatency(us),READ - MinLatency(us),READ - MaxLatency(us),READ - 95thPercentileLatency(us),READ - 99thPercentileLatency(us),READ - Return=OK,CLEANUP - Operations,CLEANUP - AverageLatency(us),CLEANUP - MinLatency(us),CLEANUP - MaxLatency(us),CLEANUP - 95thPercentileLatency(us),CLEANUP - 99thPercentileLatency(us),UPDATE - Operations,UPDATE - AverageLatency(us),UPDATE - MinLatency(us),UPDATE - MaxLatency(us),UPDATE - 95thPercentileLatency(us),UPDATE - 99thPercentileLatency(us),UPDATE - Return=OK
0,2763,361.92544335866813,0,0,0.0,0,0,0.0,0,0,0.0,512,932.708984375,166,15983,1845,2203,512,1,2447.0,2446,2447,2447,2447,488,3901.5758196721313,2084,7179,5487,6627,488
1,2989,334.5600535296086,0,0,0.0,0,0,0.0,0,0,0.0,517,1075.5764023210832,266,7443,1830,2131,517,1,767.0,767,767,767,767,483,4305.594202898551,2007,13247,6075,7203,483
2,2811,355.7452863749555,0,0,0.0,0,0,0.0,0,0,0.0,528,972.3030303030303,158,6587,1720,2323,528,1,882.0,882,882,882,882,472,4111.872881355932,2200,13159,5427,6275,472
3,2970,336.7003367003367,0,0,0.0,0,0,0.0,0,0,0.0,498,1071.508032128514,214,6879,1793,3379,498,1,3135.0,3134,3135,3135,3135,502,4111.097609561753,2048,12887,5607,6787,502
4,3080,324.6753246753247,0,0,0.0,0,0,0.0,0,0,0.0,491,1094.8207739307536,261,15575,2018,2369,491,1,787.0,787,787,787,787,509,4235.241650294695,2308,7783,5867,6863,509
5,2754,363.10820624546113,0,0,0.0,0,0,0.0,0,0,0.0,529,902.6899810964084,145,6991,1748,2041,529,1,814.0,814,814,814,814,471,4021.955414012739,2142,13327,5603,7755,471
6,2872,348.18941504178275,0,0,0.0,0,0,0.0,0,0,0.0,488,936.2622950819672,176,16287,1704,1944,488,1,4282.0,4280,4283,4283,4283,512,3967.68359375,2118,8015,5351,6431,512
7,2914,343.17089910775564,0,0,0.0,0,0,0.0,0,0,0.0,503,1029.5248508946322,257,16135,1773,2243,503,1,3183.0,3182,3183,3183,3183,497,4089.686116700201,2206,8239,5627,6535,497
8,3050,327.8688524590164,0,0,0.0,0,0,0.0,0,0,0.0,499,1042.4529058116232,259,15679,1764,2463,499,1,1210.0,1210,1210,1210,1210,501,4282.069860279441,2190,7467,5831,6827,501
9,3029,330.1419610432486,0,0,0.0,0,0,0.0,0,0,0.0,496,1038.8548387096773,246,15743,1751,2123,496,1,970.0,970,970,970,970,504,4236.863095238095,2354,7363,5543,6315,504
10,3105,322.061191626409,0,0,0.0,0,0,0.0,0,0,0.0,491,1051.6985743380856,234,17071,1817,2227,491,1,2012.0,2012,2012,2012,2012,509,4351.779960707269,2358,8487,5723,6783,509
11,3065,326.2642740619902,0,0,0.0,0,0,0.0,0,0,0.0,494,1098.9635627530365,210,15439,1912,2527,494,1,1621.0,1621,1621,1621,1621,506,4226.52371541502,2090,9487,5959,6971,506
12,3055,327.33224222585926,0,0,0.0,0,0,0.0,0,0,0.0,506,1083.5632411067193,297,15623,1854,2185,506,1,3183.0,3182,3183,3183,3183,494,4341.109311740891,2250,10143,6179,7043,494
13,3046,328.29940906106367,0,0,0.0,0,0,0.0,0,0,0.0,481,1070.7297297297298,198,15711,1765,2059,481,1,799.0,799,799,799,799,519,4160.0578034682085,1919,7451,5579,6371,519
14,3038,329.1639236339697,0,0,0.0,0,0,0.0,0,0,0.0,489,1070.1247443762782,231,6719,1905,2221,489,1,2947.0,2946,2947,2947,2947,511,4190.569471624266,2216,14039,5627,6451,511
15,3047,328.1916639317361,0,0,0.0,0,0,0.0,0,0,0.0,499,1055.7214428857715,224,16783,1872,2189,499,1,1232.0,1232,1232,1232,1232,501,4251.3313373253495,2080,8463,5983,7171,501
16,3017,331.45508783559825,0,0,0.0,0,0,0.0,0,0,0.0,500,992.662,189,6635,1658,1875,500,1,801.0,801,801,801,801,500,4238.09,2222,13103,5515,6411,500
17,3024,330.6878306878307,0,0,0.0,0,0,0.0,0,0,0.0,509,1133.7406679764244,241,6499,1877,2377,509,1,809.0,809,809,809,809,491,4258.124236252545,2256,13015,5971,7447,491
18,3118,320.7184092366902,0,0,0.0,0,0,0.0,0,0,0.0,497,1099.4366197183099,194,15591,1984,2261,497,1,1507.0,1507,1507,1507,1507,503,4313.125248508946,2266,7567,5923,6623,503
19,3116,320.92426187419767,0,0,0.0,0,0,0.0,0,0,0.0,488,1103.9774590163934,264,15943,1822,2231,488,1,1778.0,1778,1778,1778,1778,512,4295.248046875,2412,8495,5631,6995,512
