,OVERALL - RunTime(ms),OVERALL - Throughput(ops/sec),TOTAL_GCS_PS_Scavenge - Count,TOTAL_GC_TIME_PS_Scavenge - Time(ms),TOTAL_GC_TIME_%_PS_Scavenge - Time(%),TOTAL_GCS_PS_MarkSweep - Count,TOTAL_GC_TIME_PS_MarkSweep - Time(ms),TOTAL_GC_TIME_%_PS_MarkSweep - Time(%),TOTAL_GCs - Count,TOTAL_GC_TIME - Time(ms),TOTAL_GC_TIME_% - Time(%),READ - Operations,READ - AverageLatency(us),READ - MinLatency(us),READ - MaxLatency(us),READ - 95thPercentileLatency(us),READ - 99thPercentileLatency(us),READ - Return=OK,CLEANUP - Operations,CLEANUP - AverageLatency(us),CLEANUP - MinLatency(us),CLEANUP - MaxLatency(us),CLEANUP - 95thPercentileLatency(us),CLEANUP - 99thPercentileLatency(us)
0,590,1694.915254237288,0,0,0.0,0,0,0.0,0,0,0.0,1000,268.062,167,15415,402,630,1000,1,942.0,942,942,942,942
1,601,1663.8935108153078,0,0,0.0,0,0,0.0,0,0,0.0,1000,263.618,132,15655,461,811,1000,1,685.0,685,685,685,685
2,594,1683.5016835016836,0,0,0.0,0,0,0.0,0,0,0.0,1000,258.475,131,16279,379,637,1000,1,717.0,717,717,717,717
3,574,1742.1602787456445,0,0,0.0,0,0,0.0,0,0,0.0,1000,265.846,160,15535,401,612,1000,1,886.0,886,886,886,886
4,559,1788.9087656529516,0,0,0.0,0,0,0.0,0,0,0.0,1000,255.914,130,15583,382,611,1000,1,680.0,680,680,680,680
5,641,1560.0624024960998,0,0,0.0,0,0,0.0,0,0,0.0,1000,284.522,163,16975,481,889,1000,1,686.0,686,686,686,686
6,557,1795.3321364452424,0,0,0.0,0,0,0.0,0,0,0.0,1000,250.007,133,15463,400,649,1000,1,681.0,681,681,681,681
7,590,1694.915254237288,0,0,0.0,0,0,0.0,0,0,0.0,1000,273.982,125,15607,412,639,1000,1,671.0,671,671,671,671
8,621,1610.3059581320451,0,0,0.0,0,0,0.0,0,0,0.0,1000,279.789,128,15887,456,912,1000,1,665.0,665,665,665,665
9,591,1692.047377326565,0,0,0.0,0,0,0.0,0,0,0.0,1000,267.751,128,16879,459,890,1000,1,662.0,662,662,662,662
10,608,1644.7368421052631,0,0,0.0,0,0,0.0,0,0,0.0,1000,265.538,130,16463,427,890,1000,1,675.0,675,675,675,675
11,653,1531.3935681470139,0,0,0.0,0,0,0.0,0,0,0.0,1000,280.12,126,16735,455,890,1000,1,727.0,727,727,727,727
12,617,1620.7455429497568,0,0,0.0,0,0,0.0,0,0,0.0,1000,274.414,127,15527,439,743,1000,1,677.0,677,677,677,677
13,643,1555.2099533437015,0,0,0.0,0,0,0.0,0,0,0.0,1000,275.363,128,17183,490,868,1000,1,699.0,699,699,699,699
14,547,1828.1535648994516,0,0,0.0,0,0,0.0,0,0,0.0,1000,246.061,133,15399,385,621,1000,1,684.0,684,684,684,684
15,610,1639.344262295082,0,0,0.0,0,0,0.0,0,0,0.0,1000,259.129,134,15599,392,612,1000,1,730.0,730,730,730,730
16,632,1582.2784810126582,0,0,0.0,0,0,0.0,0,0,0.0,1000,275.381,129,15487,420,885,1000,1,668.0,668,668,668,668
17,596,1677.8523489932886,0,0,0.0,0,0,0.0,0,0,0.0,1000,267.942,128,18271,492,783,1000,1,700.0,700,700,700,700
18,630,1587.3015873015872,0,0,0.0,0,0,0.0,0,0,0.0,1000,274.355,173,15823,405,619,1000,1,897.0,897,897,897,897
19,628,1592.3566878980891,0,0,0.0,0,0,0.0,0,0,0.0,1000,280.968,138,15503,437,850,1000,1,912.0,912,912,912,912
