,OVERALL - RunTime(ms),OVERALL - Throughput(ops/sec),TOTAL_GCS_PS_Scavenge - Count,TOTAL_GC_TIME_PS_Scavenge - Time(ms),TOTAL_GC_TIME_%_PS_Scavenge - Time(%),TOTAL_GCS_PS_MarkSweep - Count,TOTAL_GC_TIME_PS_MarkSweep - Time(ms),TOTAL_GC_TIME_%_PS_MarkSweep - Time(%),TOTAL_GCs - Count,TOTAL_GC_TIME - Time(ms),TOTAL_GC_TIME_% - Time(%),READ - Operations,READ - AverageLatency(us),READ - MinLatency(us),READ - MaxLatency(us),READ - 95thPercentileLatency(us),READ - 99thPercentileLatency(us),READ - Return=OK,CLEANUP - Operations,CLEANUP - AverageLatency(us),CLEANUP - MinLatency(us),CLEANUP - MaxLatency(us),CLEANUP - 95thPercentileLatency(us),CLEANUP - 99thPercentileLatency(us),INSERT - Operations,INSERT - AverageLatency(us),INSERT - MinLatency(us),INSERT - MaxLatency(us),INSERT - 95thPercentileLatency(us),INSERT - 99thPercentileLatency(us),INSERT - Return=ERROR,INSERT-FAILED - Operations,INSERT-FAILED - AverageLatency(us),INSERT-FAILED - MinLatency(us),INSERT-FAILED - MaxLatency(us),INSERT-FAILED - 95thPercentileLatency(us),INSERT-FAILED - 99thPercentileLatency(us),INSERT - Return=OK
0,631,1584.7860538827258,0,0,0.0,0,0,0.0,0,0,0.0,960,263.946875,113,6075,423,625,960,1,664.0,664,664,664,664,0,NaN,9223372036854775807,0,0,0,40,40,940.5,312,17615,824,17615,
1,628,1592.3566878980891,0,0,0.0,0,0,0.0,0,0,0.0,957,272.2173458725183,112,15791,429,635,957,1,698.0,698,698,698,698,0,NaN,9223372036854775807,0,0,0,43,43,712.6279069767442,296,7915,860,7915,
2,606,1650.1650165016501,0,0,0.0,0,0,0.0,0,0,0.0,951,277.0031545741325,108,15823,442,607,951,1,695.0,695,695,695,695,0,NaN,9223372036854775807,0,0,0,49,49,705.3877551020408,270,8263,1278,8263,
3,659,1517.4506828528072,0,0,0.0,0,0,0.0,0,0,0.0,947,284.0348468848997,111,15623,490,839,947,1,721.0,721,721,721,721,0,NaN,9223372036854775807,0,0,0,53,53,642.433962264151,239,8187,936,1895,
4,602,1661.1295681063123,0,0,0.0,0,0,0.0,0,0,0.0,953,274.50786988457503,125,15783,422,665,953,1,892.0,892,892,892,892,0,NaN,9223372036854775807,0,0,0,47,47,658.5957446808511,317,8015,1064,8015,
5,850,1176.4705882352941,0,0,0.0,0,0,0.0,0,0,0.0,959,371.0500521376434,120,15727,956,1061,959,1,705.0,705,705,705,705,41,3623.390243902439,2474,5103,4851,5103,,,,,,,,41
6,602,1661.1295681063123,0,0,0.0,0,0,0.0,0,0,0.0,949,277.972602739726,110,15519,455,645,949,1,861.0,861,861,861,861,0,NaN,9223372036854775807,0,0,0,51,51,641.156862745098,283,7867,753,1907,
7,627,1594.896331738437,0,0,0.0,0,0,0.0,0,0,0.0,954,278.0775681341719,109,16103,439,879,954,1,679.0,679,679,679,679,0,NaN,9223372036854775807,0,0,0,46,46,719.9130434782609,283,10319,960,10319,
8,655,1526.7175572519084,0,0,0.0,0,0,0.0,0,0,0.0,945,288.13968253968255,130,15823,429,810,945,1,969.0,969,969,969,969,0,NaN,9223372036854775807,0,0,0,55,55,656.1454545454545,356,9263,724,1704,
9,679,1472.7540500736377,0,0,0.0,0,0,0.0,0,0,0.0,940,286.2744680851064,118,15487,433,643,940,1,762.0,762,762,762,762,19,3410.1052631578946,2568,5011,4611,5011,41,41,720.4146341463414,372,8111,873,8111,19
10,616,1623.3766233766235,0,0,0.0,0,0,0.0,0,0,0.0,939,278.40575079872207,104,15583,433,655,939,1,704.0,704,704,704,704,1,4458.0,4456,4459,4459,4459,60,60,632.9,245,8303,1064,1873,1
11,639,1564.9452269170579,0,0,0.0,0,0,0.0,0,0,0.0,958,257.51983298538624,108,6071,422,780,958,1,664.0,664,664,664,664,0,NaN,9223372036854775807,0,0,0,42,42,989.6904761904761,302,21055,810,21055,
12,656,1524.3902439024391,0,0,0.0,0,0,0.0,0,0,0.0,948,278.1065400843882,108,17007,441,901,948,1,658.0,658,658,658,658,0,NaN,9223372036854775807,0,0,0,52,52,706.5,266,10327,993,2127,
13,597,1675.0418760469013,0,0,0.0,0,0,0.0,0,0,0.0,954,275.4004192872117,106,16751,436,663,954,1,686.0,686,686,686,686,0,NaN,9223372036854775807,0,0,0,46,46,654.5652173913044,230,7747,764,7747,
14,664,1506.0240963855422,0,0,0.0,0,0,0.0,0,0,0.0,953,287.10073452256034,107,16111,503,899,953,1,676.0,676,676,676,676,0,NaN,9223372036854775807,0,0,0,47,47,761.7446808510638,257,10631,1040,10631,
