,OVERALL - RunTime(ms),OVERALL - Throughput(ops/sec),TOTAL_GCS_PS_Scavenge - Count,TOTAL_GC_TIME_PS_Scavenge - Time(ms),TOTAL_GC_TIME_%_PS_Scavenge - Time(%),TOTAL_GCS_PS_MarkSweep - Count,TOTAL_GC_TIME_PS_MarkSweep - Time(ms),TOTAL_GC_TIME_%_PS_MarkSweep - Time(%),TOTAL_GCs - Count,TOTAL_GC_TIME - Time(ms),TOTAL_GC_TIME_% - Time(%),CLEANUP - Operations,CLEANUP - AverageLatency(us),CLEANUP - MinLatency(us),CLEANUP - MaxLatency(us),CLEANUP - 95thPercentileLatency(us),CLEANUP - 99thPercentileLatency(us),INSERT - Operations,INSERT - AverageLatency(us),INSERT - MinLatency(us),INSERT - MaxLatency(us),INSERT - 95thPercentileLatency(us),INSERT - 99thPercentileLatency(us),INSERT - Return=ERROR,SCAN - Operations,SCAN - AverageLatency(us),SCAN - MinLatency(us),SCAN - MaxLatency(us),SCAN - 95thPercentileLatency(us),SCAN - 99thPercentileLatency(us),SCAN - Return=OK,INSERT-FAILED - Operations,INSERT-FAILED - AverageLatency(us),INSERT-FAILED - MinLatency(us),INSERT-FAILED - MaxLatency(us),INSERT-FAILED - 95thPercentileLatency(us),INSERT-FAILED - 99thPercentileLatency(us)
0,1045,956.9377990430622,2,6,0.5741626794258373,0,0,0.0,2,6,0.5741626794258373,1,733.0,733,733,733,733,0,NaN,9223372036854775807,0,0,0,44,956,742.5188284518829,149,20207,1923,2379,956,44,672.9318181818181,293,7999,915,7999
1,1105,904.9773755656108,2,7,0.6334841628959276,0,0,0.0,2,7,0.6334841628959276,1,821.0,821,821,821,821,0,NaN,9223372036854775807,0,0,0,45,955,752.4314136125654,161,25439,1849,2919,955,45,659.0888888888888,277,7863,754,7863
2,1073,931.9664492078285,2,6,0.5591798695246971,0,0,0.0,2,6,0.5591798695246971,1,717.0,717,717,717,717,0,NaN,9223372036854775807,0,0,0,52,948,754.2995780590717,117,18719,1901,2433,948,52,631.2692307692307,301,8103,643,1962
3,1051,951.4747859181732,2,7,0.6660323501427212,0,0,0.0,2,7,0.6660323501427212,1,744.0,744,744,744,744,0,NaN,9223372036854775807,0,0,0,47,953,749.700944386149,169,18927,1849,2343,953,47,637.1702127659574,312,8095,875,8095
4,1079,926.7840593141798,2,7,0.6487488415199258,0,0,0.0,2,7,0.6487488415199258,1,806.0,806,806,806,806,0,NaN,9223372036854775807,0,0,0,57,943,772.7529162248144,151,29391,2003,2813,943,57,653.8947368421053,338,8199,1109,2477
5,1091,916.5902841429881,2,7,0.6416131989000917,0,0,0.0,2,7,0.6416131989000917,1,765.0,765,765,765,765,0,NaN,9223372036854775807,0,0,0,46,954,763.6761006289308,146,24591,1963,2411,954,46,669.7826086956521,299,8019,721,8019
6,1118,894.4543828264758,2,7,0.6261180679785331,0,0,0.0,2,7,0.6261180679785331,1,788.0,788,788,788,788,0,NaN,9223372036854775807,0,0,0,38,962,766.5405405405405,165,25823,1961,2985,962,38,724.578947368421,330,8091,709,8091
7,1066,938.0863039399625,2,6,0.5628517823639775,0,0,0.0,2,6,0.5628517823639775,1,1000.0,1000,1000,1000,1000,0,NaN,9223372036854775807,0,0,0,61,939,758.1948881789137,161,16783,1997,2515,939,61,602.7049180327868,282,8551,673,1958
8,1125,888.8888888888889,2,7,0.6222222222222222,0,0,0.0,2,7,0.6222222222222222,1,753.0,753,753,753,753,0,NaN,9223372036854775807,0,0,0,56,944,777.6514830508474,158,22191,1926,2825,944,56,632.2678571428571,266,8055,793,1844
9,1092,915.7509157509157,2,6,0.5494505494505495,0,0,0.0,2,6,0.5494505494505495,1,742.0,742,742,742,742,0,NaN,9223372036854775807,0,0,0,44,956,778.6935146443515,147,22911,2042,3135,956,44,701.0,279,8083,1064,8083
