,OVERALL - RunTime(ms),OVERALL - Throughput(ops/sec),TOTAL_GCS_PS_Scavenge - Count,TOTAL_GC_TIME_PS_Scavenge - Time(ms),TOTAL_GC_TIME_%_PS_Scavenge - Time(%),TOTAL_GCS_PS_MarkSweep - Count,TOTAL_GC_TIME_PS_MarkSweep - Time(ms),TOTAL_GC_TIME_%_PS_MarkSweep - Time(%),TOTAL_GCs - Count,TOTAL_GC_TIME - Time(ms),TOTAL_GC_TIME_% - Time(%),READ - Operations,READ - AverageLatency(us),READ - MinLatency(us),READ - MaxLatency(us),READ - 95thPercentileLatency(us),READ - 99thPercentileLatency(us),READ - Return=OK,CLEANUP - Operations,CLEANUP - AverageLatency(us),CLEANUP - MinLatency(us),CLEANUP - MaxLatency(us),CLEANUP - 95thPercentileLatency(us),CLEANUP - 99thPercentileLatency(us),UPDATE - Operations,UPDATE - AverageLatency(us),UPDATE - MinLatency(us),UPDATE - MaxLatency(us),UPDATE - 95thPercentileLatency(us),UPDATE - 99thPercentileLatency(us),UPDATE - Return=OK
0,213,4694.835680751174,0,0,0.0,0,0,0.0,0,0,0.0,465,17.903225806451612,3,89,43,59,465,1,1390.0,1390,1390,1390,1390,535,55.31588785046729,20,957,113,222,535
1,211,4739.336492890995,0,0,0.0,0,0,0.0,0,0,0.0,514,15.832684824902724,2,74,37,62,514,1,1249.0,1249,1249,1249,1249,486,53.76954732510288,19,987,109,195,486
2,194,5154.639175257732,0,0,0.0,0,0,0.0,0,0,0.0,510,12.503921568627451,2,68,33,56,510,1,1034.0,1034,1034,1034,1034,490,44.57959183673469,19,1005,111,175,490
3,201,4975.124378109453,0,0,0.0,0,0,0.0,0,0,0.0,489,16.006134969325153,2,744,39,61,489,1,1396.0,1396,1396,1396,1396,511,47.79256360078278,19,386,103,209,511
4,208,4807.692307692308,0,0,0.0,0,0,0.0,0,0,0.0,464,15.911637931034482,2,90,39,56,464,1,1326.0,1326,1326,1326,1326,536,53.34141791044776,19,909,120,188,536
5,220,4545.454545454545,0,0,0.0,0,0,0.0,0,0,0.0,495,18.22020202020202,2,117,49,84,495,1,1048.0,1048,1048,1048,1048,505,59.89306930693069,18,1939,153,242,505
6,209,4784.688995215311,0,0,0.0,0,0,0.0,0,0,0.0,522,16.477011494252874,2,100,37,71,522,1,1053.0,1053,1053,1053,1053,478,54.12343096234309,20,938,114,189,478
7,221,4524.886877828054,0,0,0.0,0,0,0.0,0,0,0.0,479,20.764091858037578,3,2029,45,68,479,1,1327.0,1327,1327,1327,1327,521,54.119001919385795,20,548,133,200,521
8,203,4926.108374384236,0,0,0.0,0,0,0.0,0,0,0.0,518,14.646718146718147,2,1206,28,62,518,1,1061.0,1061,1061,1061,1061,482,42.44398340248963,19,534,93,174,482
9,209,4784.688995215311,0,0,0.0,0,0,0.0,0,0,0.0,476,18.212184873949578,3,684,38,67,476,1,1442.0,1442,1442,1442,1442,524,52.520992366412216,20,404,104,159,524
10,201,4975.124378109453,0,0,0.0,0,0,0.0,0,0,0.0,502,12.739043824701195,2,61,30,55,502,1,1268.0,1268,1268,1268,1268,498,43.200803212851405,20,1073,99,154,498
11,205,4878.048780487805,0,0,0.0,0,0,0.0,0,0,0.0,499,16.837675350701403,2,681,40,67,499,1,1060.0,1060,1060,1060,1060,501,49.740518962075846,21,348,122,229,501
12,217,4608.294930875576,0,0,0.0,0,0,0.0,0,0,0.0,492,18.585365853658537,4,116,51,71,492,1,1057.0,1057,1057,1057,1057,508,60.64370078740158,21,1210,169,219,508
13,210,4761.9047619047615,0,0,0.0,0,0,0.0,0,0,0.0,508,17.141732283464567,2,833,45,68,508,1,1122.0,1122,1122,1122,1122,492,54.0589430894309,18,392,151,203,492
14,195,5128.205128205128,0,0,0.0,0,0,0.0,0,0,0.0,512,12.9140625,3,108,32,61,512,1,1070.0,1070,1070,1070,1070,488,44.02254098360656,19,1095,109,157,488
15,211,4739.336492890995,0,0,0.0,0,0,0.0,0,0,0.0,500,18.15,2,1185,38,57,500,1,1347.0,1347,1347,1347,1347,500,54.42,20,539,129,201,500
16,214,4672.897196261682,0,0,0.0,0,0,0.0,0,0,0.0,497,17.074446680080484,3,80,42,67,497,1,1397.0,1397,1397,1397,1397,503,56.63220675944334,18,1688,125,193,503
17,213,4694.835680751174,0,0,0.0,0,0,0.0,0,0,0.0,488,16.78483606557377,3,617,38,57,488,1,1249.0,1249,1249,1249,1249,512,51.634765625,19,540,107,199,512
18,195,5128.205128205128,0,0,0.0,0,0,0.0,0,0,0.0,477,13.023060796645701,2,81,35,56,477,1,1033.0,1033,1033,1033,1033,523,43.08221797323136,20,1051,95,176,523
19,208,4807.692307692308,0,0,0.0,0,0,0.0,0,0,0.0,495,17.345454545454544,3,612,40,67,495,1,1358.0,1358,1358,1358,1358,505,48.904950495049505,19,424,109,185,505
