,OVERALL - RunTime(ms),OVERALL - Throughput(ops/sec),TOTAL_GCS_PS_Scavenge - Count,TOTAL_GC_TIME_PS_Scavenge - Time(ms),TOTAL_GC_TIME_%_PS_Scavenge - Time(%),TOTAL_GCS_PS_MarkSweep - Count,TOTAL_GC_TIME_PS_MarkSweep - Time(ms),TOTAL_GC_TIME_%_PS_MarkSweep - Time(%),TOTAL_GCs - Count,TOTAL_GC_TIME - Time(ms),TOTAL_GC_TIME_% - Time(%),READ - Operations,READ - AverageLatency(us),READ - MinLatency(us),READ - MaxLatency(us),READ - 95thPercentileLatency(us),READ - 99thPercentileLatency(us),READ - Return=OK,CLEANUP - Operations,CLEANUP - AverageLatency(us),CLEANUP - MinLatency(us),CLEANUP - MaxLatency(us),CLEANUP - 95thPercentileLatency(us),CLEANUP - 99thPercentileLatency(us),UPDATE - Operations,UPDATE - AverageLatency(us),UPDATE - MinLatency(us),UPDATE - MaxLatency(us),UPDATE - 95thPercentileLatency(us),UPDATE - 99thPercentileLatency(us),UPDATE - Return=OK
0,189,5291.005291005291,0,0,0.0,0,0,0.0,0,0,0.0,945,13.205291005291006,2,681,35,55,945,1,1071.0,1071,1071,1071,1071,55,70.21818181818182,30,393,126,150,55
1,215,4651.162790697675,0,0,0.0,0,0,0.0,0,0,0.0,945,20.465608465608465,4,873,48,83,945,1,1079.0,1079,1079,1079,1079,55,99.49090909090908,53,502,192,281,55
2,199,5025.125628140703,0,0,0.0,0,0,0.0,0,0,0.0,957,21.249738766980148,4,753,53,76,957,1,1336.0,1336,1336,1336,1336,43,100.4186046511628,55,353,185,353,43
3,194,5154.639175257732,0,0,0.0,0,0,0.0,0,0,0.0,945,16.424338624338624,3,679,39,62,945,1,1027.0,1027,1027,1027,1027,55,83.38181818181818,32,352,155,260,55
4,188,5319.148936170212,0,0,0.0,0,0,0.0,0,0,0.0,945,17.655026455026455,3,643,40,64,945,1,1174.0,1174,1174,1174,1174,55,87.03636363636363,35,388,178,203,55
5,187,5347.593582887701,0,0,0.0,0,0,0.0,0,0,0.0,936,13.469017094017094,2,837,34,56,936,1,1040.0,1040,1040,1040,1040,64,66.015625,34,376,126,157,64
6,204,4901.9607843137255,0,0,0.0,0,0,0.0,0,0,0.0,958,18.27035490605428,3,1229,46,69,958,1,1291.0,1291,1291,1291,1291,42,96.83333333333333,42,512,169,512,42
7,192,5208.333333333333,0,0,0.0,0,0,0.0,0,0,0.0,946,14.816067653276956,2,1264,37,64,946,1,1350.0,1350,1350,1350,1350,54,74.38888888888889,35,531,140,156,54
8,195,5128.205128205128,0,0,0.0,0,0,0.0,0,0,0.0,940,17.420212765957448,4,706,39,66,940,1,1098.0,1098,1098,1098,1098,60,88.08333333333333,44,366,176,207,60
9,202,4950.495049504951,0,0,0.0,0,0,0.0,0,0,0.0,955,20.26910994764398,4,678,50,79,955,1,1158.0,1158,1158,1158,1158,45,102.2,54,463,203,463,45
10,188,5319.148936170212,0,0,0.0,0,0,0.0,0,0,0.0,955,12.922513089005236,2,673,33,46,955,1,1142.0,1142,1142,1142,1142,45,73.08888888888889,36,371,121,371,45
11,182,5494.505494505494,0,0,0.0,0,0,0.0,0,0,0.0,956,13.5418410041841,3,661,35,55,956,1,1049.0,1049,1049,1049,1049,44,73.77272727272727,35,389,155,389,44
12,206,4854.368932038835,0,0,0.0,0,0,0.0,0,0,0.0,948,18.621308016877638,2,1497,46,65,948,1,1381.0,1381,1381,1381,1381,52,94.51923076923077,33,508,175,190,52
13,194,5154.639175257732,0,0,0.0,0,0,0.0,0,0,0.0,949,16.530031612223393,4,644,37,65,949,1,1335.0,1335,1335,1335,1335,51,86.6078431372549,37,359,142,155,51
14,195,5128.205128205128,0,0,0.0,0,0,0.0,0,0,0.0,949,17.073761854583772,2,706,39,59,949,1,1096.0,1096,1096,1096,1096,51,90.72549019607843,49,374,156,208,51
15,184,5434.782608695652,0,0,0.0,0,0,0.0,0,0,0.0,950,13.50842105263158,3,716,34,57,950,1,1065.0,1065,1065,1065,1065,50,75.4,34,433,150,433,50
16,190,5263.1578947368425,0,0,0.0,0,0,0.0,0,0,0.0,943,17.49098621420997,2,661,41,73,943,1,1402.0,1402,1402,1402,1402,57,78.42105263157895,30,397,140,210,57
17,194,5154.639175257732,0,0,0.0,0,0,0.0,0,0,0.0,947,17.01478352692714,2,681,44,76,947,1,1479.0,1479,1479,1479,1479,53,83.54716981132076,34,362,167,188,53
18,195,5128.205128205128,0,0,0.0,0,0,0.0,0,0,0.0,966,15.05072463768116,2,1223,41,67,966,1,1029.0,1029,1029,1029,1029,34,86.44117647058823,45,530,135,530,34
19,206,4854.368932038835,0,0,0.0,0,0,0.0,0,0,0.0,955,18.398952879581152,4,1144,46,73,955,1,1342.0,1342,1342,1342,1342,45,110.57777777777778,43,497,205,497,45
