,OVERALL - RunTime(ms),OVERALL - Throughput(ops/sec),TOTAL_GCS_PS_Scavenge - Count,TOTAL_GC_TIME_PS_Scavenge - Time(ms),TOTAL_GC_TIME_%_PS_Scavenge - Time(%),TOTAL_GCS_PS_MarkSweep - Count,TOTAL_GC_TIME_PS_MarkSweep - Time(ms),TOTAL_GC_TIME_%_PS_MarkSweep - Time(%),TOTAL_GCs - Count,TOTAL_GC_TIME - Time(ms),TOTAL_GC_TIME_% - Time(%),READ - Operations,READ - AverageLatency(us),READ - MinLatency(us),READ - MaxLatency(us),READ - 95thPercentileLatency(us),READ - 99thPercentileLatency(us),READ - Return=OK,CLEANUP - Operations,CLEANUP - AverageLatency(us),CLEANUP - MinLatency(us),CLEANUP - MaxLatency(us),CLEANUP - 95thPercentileLatency(us),CLEANUP - 99thPercentileLatency(us)
0,193,5181.347150259067,0,0,0.0,0,0,0.0,0,0,0.0,1000,15.729,4,1195,43,65,1000,1,1049.0,1049,1049,1049,1049
1,195,5128.205128205128,0,0,0.0,0,0,0.0,0,0,0.0,1000,15.838,4,620,40,57,1000,1,1358.0,1358,1358,1358,1358
2,198,5050.50505050505,0,0,0.0,0,0,0.0,0,0,0.0,1000,18.265,4,1097,42,75,1000,1,1337.0,1337,1337,1337,1337
3,201,4975.124378109453,0,0,0.0,0,0,0.0,0,0,0.0,1000,18.068,4,1253,47,67,1000,1,1136.0,1136,1136,1136,1136
4,181,5524.861878453039,0,0,0.0,0,0,0.0,0,0,0.0,1000,13.343,4,668,36,56,1000,1,1065.0,1065,1065,1065,1065
5,189,5291.005291005291,0,0,0.0,0,0,0.0,0,0,0.0,1000,16.867,6,774,37,58,1000,1,1377.0,1377,1377,1377,1377
6,177,5649.717514124294,0,0,0.0,0,0,0.0,0,0,0.0,1000,13.41,4,645,35,54,1000,1,1043.0,1043,1043,1043,1043
7,190,5263.1578947368425,0,0,0.0,0,0,0.0,0,0,0.0,1000,16.494,4,667,39,68,1000,1,1373.0,1373,1373,1373,1373
8,201,4975.124378109453,0,0,0.0,0,0,0.0,0,0,0.0,1000,19.093,4,1537,52,79,1000,1,1399.0,1399,1399,1399,1399
9,180,5555.555555555556,0,0,0.0,0,0,0.0,0,0,0.0,1000,13.163,4,633,33,61,1000,1,1030.0,1030,1030,1030,1030
10,202,4950.495049504951,0,0,0.0,0,0,0.0,0,0,0.0,1000,18.97,3,1658,49,76,1000,1,1365.0,1365,1365,1365,1365
11,208,4807.692307692308,0,0,0.0,0,0,0.0,0,0,0.0,1000,22.175,5,1401,72,105,1000,1,1191.0,1191,1191,1191,1191
12,199,5025.125628140703,0,0,0.0,0,0,0.0,0,0,0.0,1000,17.183,4,1165,42,63,1000,1,1362.0,1362,1362,1362,1362
13,193,5181.347150259067,0,0,0.0,0,0,0.0,0,0,0.0,1000,13.138,4,682,35,55,1000,1,1057.0,1057,1057,1057,1057
14,193,5181.347150259067,0,0,0.0,0,0,0.0,0,0,0.0,1000,16.41,4,1689,41,80,1000,1,1052.0,1052,1052,1052,1052
15,195,5128.205128205128,0,0,0.0,0,0,0.0,0,0,0.0,1000,16.783,3,684,43,71,1000,1,1353.0,1353,1353,1353,1353
16,178,5617.9775280898875,0,0,0.0,0,0,0.0,0,0,0.0,1000,13.049,4,670,32,54,1000,1,1101.0,1101,1101,1101,1101
17,194,5154.639175257732,0,0,0.0,0,0,0.0,0,0,0.0,1000,17.394,4,1136,44,65,1000,1,1349.0,1349,1349,1349,1349
18,188,5319.148936170212,0,0,0.0,0,0,0.0,0,0,0.0,1000,17.809,3,693,44,74,1000,1,1410.0,1410,1410,1410,1410
19,194,5154.639175257732,0,0,0.0,0,0,0.0,0,0,0.0,1000,19.523,5,605,50,74,1000,1,1351.0,1351,1351,1351,1351
