,OVERALL - RunTime(ms),OVERALL - Throughput(ops/sec),TOTAL_GCS_PS_Scavenge - Count,TOTAL_GC_TIME_PS_Scavenge - Time(ms),TOTAL_GC_TIME_%_PS_Scavenge - Time(%),TOTAL_GCS_PS_MarkSweep - Count,TOTAL_GC_TIME_PS_MarkSweep - Time(ms),TOTAL_GC_TIME_%_PS_MarkSweep - Time(%),TOTAL_GCs - Count,TOTAL_GC_TIME - Time(ms),TOTAL_GC_TIME_% - Time(%),CLEANUP - Operations,CLEANUP - AverageLatency(us),CLEANUP - MinLatency(us),CLEANUP - MaxLatency(us),CLEANUP - 95thPercentileLatency(us),CLEANUP - 99thPercentileLatency(us),INSERT - Operations,INSERT - AverageLatency(us),INSERT - MinLatency(us),INSERT - MaxLatency(us),INSERT - 95thPercentileLatency(us),INSERT - 99thPercentileLatency(us),INSERT - Return=OK,SCAN - Operations,SCAN - AverageLatency(us),SCAN - MinLatency(us),SCAN - MaxLatency(us),SCAN - 95thPercentileLatency(us),SCAN - 99thPercentileLatency(us),SCAN - Return=OK
0,303,3300.3300330033003,1,2,0.6600660066006601,0,0,0.0,1,2,0.6600660066006601,1,1417.0,1417,1417,1417,1417,54,70.98148148148148,20,473,147,156,54,946,128.45348837209303,5,6435,251,517,946
1,288,3472.222222222222,1,1,0.3472222222222222,0,0,0.0,1,1,0.3472222222222222,1,1103.0,1103,1103,1103,1103,46,76.76086956521739,21,457,132,457,46,954,119.01991614255765,5,4835,240,444,954
2,325,3076.923076923077,1,1,0.3076923076923077,0,0,0.0,1,1,0.3076923076923077,1,1103.0,1103,1103,1103,1103,47,88.17021276595744,30,651,230,651,47,953,147.79433368310598,6,3705,314,451,953
3,300,3333.3333333333335,1,2,0.6666666666666667,0,0,0.0,1,2,0.6666666666666667,1,1185.0,1185,1185,1185,1185,42,89.47619047619048,22,642,201,642,42,958,130.40605427974947,5,4543,318,539,958
4,305,3278.688524590164,1,1,0.32786885245901637,0,0,0.0,1,1,0.32786885245901637,1,1170.0,1170,1170,1170,1170,38,91.44736842105263,31,450,181,450,38,962,130.7952182952183,6,6575,255,546,962
5,287,3484.320557491289,1,2,0.6968641114982579,0,0,0.0,1,2,0.6968641114982579,1,1123.0,1123,1123,1123,1123,35,87.28571428571429,27,572,146,572,35,965,120.18031088082901,5,4423,243,424,965
6,336,2976.190476190476,1,1,0.2976190476190476,0,0,0.0,1,1,0.2976190476190476,1,1081.0,1081,1081,1081,1081,57,78.54385964912281,21,503,153,189,57,943,155.64687168610817,6,9951,314,460,943
7,315,3174.6031746031745,1,1,0.31746031746031744,0,0,0.0,1,1,0.31746031746031744,1,1425.0,1425,1425,1425,1425,51,81.05882352941177,23,642,140,182,51,949,136.07060063224446,5,6087,272,594,949
8,298,3355.7046979865772,1,2,0.6711409395973155,0,0,0.0,1,2,0.6711409395973155,1,1150.0,1150,1150,1150,1150,40,84.575,28,436,162,436,40,960,124.68958333333333,5,6123,233,373,960
9,302,3311.2582781456954,1,1,0.33112582781456956,0,0,0.0,1,1,0.33112582781456956,1,1245.0,1245,1245,1245,1245,58,75.10344827586206,24,585,152,274,58,942,128.2123142250531,5,6127,260,527,942
10,286,3496.5034965034965,1,2,0.6993006993006993,0,0,0.0,1,2,0.6993006993006993,1,1048.0,1048,1048,1048,1048,50,72.36,22,615,148,615,50,950,121.71263157894737,5,2433,256,623,950
11,306,3267.97385620915,1,1,0.32679738562091504,0,0,0.0,1,1,0.32679738562091504,1,1107.0,1107,1107,1107,1107,46,79.02173913043478,22,462,148,462,46,954,134.61635220125785,6,6843,338,524,954
12,291,3436.426116838488,1,2,0.6872852233676976,0,0,0.0,1,2,0.6872852233676976,1,1133.0,1133,1133,1133,1133,40,76.5,29,483,148,483,40,960,124.22291666666666,5,3495,303,517,960
13,292,3424.6575342465753,1,1,0.3424657534246575,0,0,0.0,1,1,0.3424657534246575,1,1080.0,1080,1080,1080,1080,54,62.25925925925926,20,380,113,219,54,946,114.25581395348837,5,2955,229,348,946
14,292,3424.6575342465753,1,1,0.3424657534246575,0,0,0.0,1,1,0.3424657534246575,1,1118.0,1118,1118,1118,1118,49,75.6938775510204,20,370,211,370,49,951,126.15983175604627,5,2169,324,608,951
15,292,3424.6575342465753,1,2,0.684931506849315,0,0,0.0,1,2,0.684931506849315,1,1151.0,1151,1151,1151,1151,47,71.59574468085107,23,578,159,578,47,953,123.33158447009444,5,4335,247,486,953
16,284,3521.1267605633802,1,1,0.35211267605633806,0,0,0.0,1,1,0.35211267605633806,1,1108.0,1108,1108,1108,1108,59,61.186440677966104,18,387,105,152,59,941,120.87460148777896,5,3303,246,372,941
17,295,3389.830508474576,1,1,0.3389830508474576,0,0,0.0,1,1,0.3389830508474576,1,1107.0,1107,1107,1107,1107,53,61.698113207547166,20,433,111,126,53,947,119.62090813093981,5,4523,243,478,947
18,287,3484.320557491289,1,1,0.34843205574912894,0,0,0.0,1,1,0.34843205574912894,1,1111.0,1111,1111,1111,1111,44,69.72727272727273,21,414,143,414,44,956,118.7866108786611,6,3003,251,407,956
19,299,3344.4816053511704,1,1,0.33444816053511706,0,0,0.0,1,1,0.33444816053511706,1,1361.0,1361,1361,1361,1361,54,73.01851851851852,20,578,136,160,54,946,130.49894291754757,6,3159,281,534,946
