,OVERALL - RunTime(ms),OVERALL - Throughput(ops/sec),TOTAL_GCS_PS_Scavenge - Count,TOTAL_GC_TIME_PS_Scavenge - Time(ms),TOTAL_GC_TIME_%_PS_Scavenge - Time(%),TOTAL_GCS_PS_MarkSweep - Count,TOTAL_GC_TIME_PS_MarkSweep - Time(ms),TOTAL_GC_TIME_%_PS_MarkSweep - Time(%),TOTAL_GCs - Count,TOTAL_GC_TIME - Time(ms),TOTAL_GC_TIME_% - Time(%),READ - Operations,READ - AverageLatency(us),READ - MinLatency(us),READ - MaxLatency(us),READ - 95thPercentileLatency(us),READ - 99thPercentileLatency(us),READ - Return=OK,READ-MODIFY-WRITE - Operations,READ-MODIFY-WRITE - AverageLatency(us),READ-MODIFY-WRITE - MinLatency(us),READ-MODIFY-WRITE - MaxLatency(us),READ-MODIFY-WRITE - 95thPercentileLatency(us),READ-MODIFY-WRITE - 99thPercentileLatency(us),CLEANUP - Operations,CLEANUP - AverageLatency(us),CLEANUP - MinLatency(us),CLEANUP - MaxLatency(us),CLEANUP - 95thPercentileLatency(us),CLEANUP - 99thPercentileLatency(us),UPDATE - Operations,UPDATE - AverageLatency(us),UPDATE - MinLatency(us),UPDATE - MaxLatency(us),UPDATE - 95thPercentileLatency(us),UPDATE - 99thPercentileLatency(us),UPDATE - Return=OK
0,226,4424.778761061947,0,0,0.0,0,0,0.0,0,0,0.0,1000,16.357,2,1254,38,67,1000,490,95.73673469387755,24,12055,170,302,1,1339.0,1339,1339,1339,1339,490,48.86326530612245,18,513,109,208,490
1,210,4761.9047619047615,0,0,0.0,0,0,0.0,0,0,0.0,1000,13.285,2,1271,33,59,1000,505,58.94455445544555,23,709,172,251,1,1096.0,1096,1096,1096,1096,505,38.81782178217822,18,497,112,171,505
2,212,4716.981132075472,0,0,0.0,0,0,0.0,0,0,0.0,1000,13.611,2,1435,33,62,1000,499,78.91182364729458,24,12591,140,232,1,1090.0,1090,1090,1090,1090,499,36.478957915831664,17,542,88,149,499
3,207,4830.917874396136,0,0,0.0,0,0,0.0,0,0,0.0,1000,13.299,2,1213,32,59,1000,506,78.53359683794466,25,11735,152,246,1,1091.0,1091,1091,1091,1091,506,37.294466403162055,18,512,99,160,506
4,211,4739.336492890995,0,0,0.0,0,0,0.0,0,0,0.0,1000,14.942,2,667,37,65,1000,508,65.11023622047244,23,544,153,263,1,1451.0,1451,1451,1451,1451,508,43.576771653543304,17,404,93,184,508
5,212,4716.981132075472,0,0,0.0,0,0,0.0,0,0,0.0,1000,15.091,2,699,35,58,1000,499,68.21843687374749,25,525,160,258,1,1336.0,1336,1336,1336,1336,499,45.258517034068134,18,348,98,179,499
6,210,4761.9047619047615,0,0,0.0,0,0,0.0,0,0,0.0,1000,14.706,2,727,35,63,1000,478,66.47907949790795,24,519,150,268,1,1295.0,1295,1295,1295,1295,478,43.98744769874477,17,343,98,201,478
7,204,4901.9607843137255,0,0,0.0,0,0,0.0,0,0,0.0,1000,12.438,2,728,32,49,1000,491,69.71079429735234,23,7123,138,219,1,1045.0,1045,1045,1045,1045,491,37.89816700610998,17,385,85,149,491
8,224,4464.285714285715,0,0,0.0,0,0,0.0,0,0,0.0,1000,15.981,2,1389,38,62,1000,482,96.13278008298755,25,12559,178,255,1,1341.0,1341,1341,1341,1341,482,47.61825726141079,19,544,127,176,482
9,221,4524.886877828054,0,0,0.0,0,0,0.0,0,0,0.0,1000,16.967,2,636,45,74,1000,515,89.83495145631068,23,7839,197,297,1,1305.0,1305,1305,1305,1305,515,50.318446601941744,17,427,126,206,515
